RespondentID,1. HC >< FC,2. HC >< GCG,3. HC >< RM,4. HC >< BP,5. HC >< IDN,6. HC >< GC,7. HC >< IT,8. HC >< DBM,9. HC >< OA,10. FC >< GCG,11. FC >< RM,12. FC >< BP,13. FC >< IDN,14. FC >< GC,15. FC >< IT,16. FC >< DBM,17. FC >< OA,18. GCG >< RM,19. GCG >< BP,20. GCG >< IDN,21. GCG >< GC,22. GCG >< IT,23. GCG >< DBM,24. GCG >< OA,25. RM >< BP,26. RM >< IDN,27. RM >< GC,28. RM >< IT,29. RM >< DBM,30. RM >< OA,31. BP >< IDN,32. BP >< GC,33. BP >< IT,34. BP >< DBM,35. BP >< OA,36. IDN >< GC,37. IDN >< IT,38. IDN >< DBM,39. IDN >< OA,40. GC >< IT,41. GC >< DBM,42. GC >< OA,43. IT >< DBM,44. IT >< OA,45. DBM >< OA,1. HC,FC,GCG,RM,BP,IDN,GC,IT,DBM,OA,1. Kinerja Laba,2. Kinerja NPL,3. Kinerja CAR/ Liquiditas
51,3,3,3,3,5,3,3,3,3,5,3,3,1,0.3333,1,1,1,0.3333,1,1,1,3,1,1,3,1,1,3,3,3,1,1,0.3333,1,1,3,0.3333,1,1,0.3333,1,1,3,1,1,7,7,7,7,7,5,5,7,5,7,7,4,4
52,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,5,5
53,0.1429,3,0.2,0.2,0.2,0.2,0.3333,0.2,0.3333,5,5,1,1,3,3,3,3,0.3333,0.2,0.2,0.3333,0.3333,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,3,3,3,1,3,1,3,3,3,1,3,3,5,3,0.3333,1,3,5,1,0.3333,0.3333,5,3,1,6,5,5
54,1,1,0.3333,0.3333,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,7,7,7
55,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,0.2,7,7,7,7,7,0.2,5,0.2,0.2,5,0.2,0.2,0.2,5,0.2,5,7,0.2,7,0.2,0.2,5,5,3,3,3,1,1,3,1,5,5,5,5
56,1,1,1,1,1,3,0.3333,0.3333,3,1,3,0.3333,0.3333,3,1,0.3333,3,1,0.3333,3,1,0.3333,1,3,0.3333,5,3,1,3,0.3333,1,3,0.3333,3,0.3333,0.3333,1,3,1,3,1,1,3,0.3333,3,3,3,5,5,5,5,3,5,5,5,6,5,6
57,0.3333,0.2,7,0.3333,0.2,0.2,3,0.3333,0.2,0.2,1,1,1,0.3333,0.2,0.2,0.3333,0.2,0.3333,0.3333,0.2,5,0.3333,3,1,0.3333,0.3333,0.3333,0.2,0.2,1,1,1,0.3333,0.3333,1,0.3333,1,1,5,5,5,3,3,5,7,7,7,7,7,7,7,7,7,7,3,4,4
58,1,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,3,0.3333,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0.3333,5,3,0.2,0.3333,0.3333,4,3,3
59,0.3333,0.3333,0.3333,3,1,0.3333,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,0.3333,0.3333,0.3333,3,3,3,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,0.1429,1,3,5,3,3,3,5,5,5,5,5,5
60,3,0.3333,0.3333,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,0.3333,0.3333,0.2,1,0.3333,1,1,0.3333,1,0.3333,0.3333,0.3333,3,3,3,3,3,3,1,1,0.3333,1,0.3333,1,1,1,1,1,1,1,1,0.3333,0.3333,3,3,3,3,3,5,5,5,5,5,5,5,5
