RespondentID,1. HC >< FC,2. HC >< GCG,3. HC >< RM,4. HC >< BP,5. HC >< IDN,6. HC >< GC,7. HC >< IT,8. HC >< DBM,9. HC >< OA,10. FC >< GCG,11. FC >< RM,12. FC >< BP,13. FC >< IDN,14. FC >< GC,15. FC >< IT,16. FC >< DBM,17. FC >< OA,18. GCG >< RM,19. GCG >< BP,20. GCG >< IDN,21. GCG >< GC,22. GCG >< IT,23. GCG >< DBM,24. GCG >< OA,25. RM >< BP,26. RM >< IDN,27. RM >< GC,28. RM >< IT,29. RM >< DBM,30. RM >< OA,31. BP >< IDN,32. BP >< GC,33. BP >< IT,34. BP >< DBM,35. BP >< OA,36. IDN >< GC,37. IDN >< IT,38. IDN >< DBM,39. IDN >< OA,40. GC >< IT,41. GC >< DBM,42. GC >< OA,43. IT >< DBM,44. IT >< OA,45. DBM >< OA,1. HC,FC,GCG,RM,BP,IDN,GC,IT,DBM,OA,1. Kinerja Laba,2. Kinerja NPL,3. Kinerja CAR/ Liquiditas
114,1,3,1,0.3333,3,1,1,1,1,3,1,0.3333,1,1,1,1,1,1,0.3333,1,1,1,1,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,3,5,7,7,7,7,7,7,6,4,6
115,0.3333,3,1,3,3,5,1,3,1,1,1,3,3,5,1,3,3,1,3,3,3,1,3,0.3333,3,3,3,1,1,1,1,3,0.3333,0.3333,0.3333,3,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,1,1,7,7,7,7,5,5,5,7,7,7,6,6,6
116,3,3,5,5,3,3,5,7,5,3,7,5,7,3,7,5,5,3,3,5,5,7,5,3,7,7,5,5,5,3,3,3,3,3,5,5,5,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7
117,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,4,4,5
118,1,3,0.3333,0.2,3,1,0.2,0.3333,3,3,3,3,1,0.3333,0.2,3,0.3333,3,3,0.3333,0.3333,0.3333,3,0.3333,3,1,0.3333,0.3333,0.3333,3,3,3,0.3333,3,3,3,0.2,3,3,0.3333,3,3,5,5,3,3,3,3,3,5,5,3,7,5,5,5,4,4
119,1,1,1,1,5,0.3333,5,5,1,1,1,1,1,1,1,1,1,9,5,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,0.1429,1,1,1,0.2,1,1,0.2,1,0.2,0.2,3,1,7,7,5,7,7,7,7,7,6,3,3
120,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0.3333,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0.3333,0.3333,0.3333,1,0.3333,0.3333,7,5,3,3,3,3,3,3,3,5,6,5,7
121,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,0.3333,0.3333,1,1,1,3,3,3,3
122,0.2,3,3,0.1429,0.2,0.3333,0.2,0.3333,0.3333,5,7,1,1,1,0.3333,1,3,0.3333,0.1429,0.3333,0.3333,0.3333,0.3333,0.3333,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,3,0.3333,0.3333,0.3333,0.2,0.3333,0.3333,5,5,3,1,3,3,3,5,7,3,5,3,3,7,6,6
123,5,5,5,9,9,0.3333,0.3333,0.3333,0.3333,5,5,9,9,9,9,9,9,0.3333,3,3,3,3,3,3,7,7,7,7,7,7,3,3,3,3,3,1,1,1,1,1,3,0.3333,1,1,3,7,7,7,7,7,7,7,7,7,7,7,4,7
124,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,4,4,4
125,0.2,0.1429,0.1429,0.1111,5,1,0.1429,0.1429,0.1111,1,5,1,7,3,7,1,0.3333,0.3333,0.3333,0.3333,0.2,0.1429,0.1429,0.1429,1,0.2,0.1429,0.3333,0.3333,0.2,0.1429,7,9,7,1,1,1,0.1429,0.1429,0.1111,0.2,0.3333,7,0.1429,0.1429,1,1,5,3,5,1,1,3,5,5,4,4,4
126,0.3333,3,0.2,0.1429,5,0.2,7,3,3,5,0.1429,0.3333,0.3333,3,9,5,3,0.1111,3,0.3333,3,5,5,5,0.3333,3,5,5,5,5,7,5,5,5,5,5,5,3,3,0.2,0.2,0.3333,0.1429,0.1429,5,3,5,3,7,7,7,1,0.3333,0.3333,3,6,5,6
127,0.2,0.2,0.3333,0.2,0.3333,5,0.3333,0.3333,0.3333,3,3,3,5,5,3,3,0.3333,0.3333,3,5,5,3,5,5,3,5,5,3,5,5,3,5,0.3333,1,3,3,0.3333,0.3333,0.3333,0.2,0.2,0.2,0.1429,5,3,5,5,5,5,5,5,1,5,5,5,7,5,5
128,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,4,4,4
129,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,3,5,5,5,5,5,4,4
130,3,3,3,3,5,3,3,3,3,5,3,3,1,0.3333,1,1,1,0.3333,1,1,1,3,1,1,3,1,1,3,3,3,1,1,0.3333,1,1,3,0.3333,1,1,0.3333,1,1,3,1,1,7,7,7,7,7,5,5,7,5,7,7,4,4
131,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,5,5
132,0.1429,3,0.2,0.2,0.2,0.2,0.3333,0.2,0.3333,5,5,1,1,3,3,3,3,0.3333,0.2,0.2,0.3333,0.3333,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,3,3,3,1,3,1,3,3,3,1,3,3,5,3,0.3333,1,3,5,1,0.3333,0.3333,5,3,1,6,5,5
133,1,1,0.3333,0.3333,1,1,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,7,7,7
134,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,0.2,7,7,7,7,7,0.2,5,0.2,0.2,5,0.2,0.2,0.2,5,0.2,5,7,0.2,7,0.2,0.2,5,5,3,3,3,1,1,3,1,5,5,5,5
135,1,1,1,1,1,3,0.3333,0.3333,3,1,3,0.3333,0.3333,3,1,0.3333,3,1,0.3333,3,1,0.3333,1,3,0.3333,5,3,1,3,0.3333,1,3,0.3333,3,0.3333,0.3333,1,3,1,3,1,1,3,0.3333,3,3,3,5,5,5,5,3,5,5,5,6,5,6
136,0.3333,0.2,7,0.3333,0.2,0.2,3,0.3333,0.2,0.2,1,1,1,0.3333,0.2,0.2,0.3333,0.2,0.3333,0.3333,0.2,5,0.3333,3,1,0.3333,0.3333,0.3333,0.2,0.2,1,1,1,0.3333,0.3333,1,0.3333,1,1,5,5,5,3,3,5,7,7,7,7,7,7,7,7,7,7,3,4,4
137,1,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,3,0.3333,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,0.3333,5,3,0.2,0.3333,0.3333,4,3,3
138,0.3333,0.3333,0.3333,3,1,0.3333,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,0.3333,0.3333,0.3333,3,3,3,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,0.1429,1,3,5,3,3,3,5,5,5,5,5,5
139,3,0.3333,0.3333,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,0.3333,0.3333,0.2,1,0.3333,1,1,0.3333,1,0.3333,0.3333,0.3333,3,3,3,3,3,3,1,1,0.3333,1,0.3333,1,1,1,1,1,1,1,1,0.3333,0.3333,3,3,3,3,3,5,5,5,5,5,5,5,5
140,0.2,3,0.2,1,1,1,0.2,0.3333,3,1,1,1,1,1,0.2,0.3333,1,0.3333,0.3333,0.3333,0.2,0.1429,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,7,3,1,4,2,4
141,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,4,4
142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,4
143,1,1,1,0.3333,1,0.3333,1,0.3333,0.2,1,1,0.3333,1,3,1,1,0.2,1,0.3333,1,3,1,1,0.3333,0.3333,1,3,1,1,0.3333,3,3,3,3,3,3,1,1,0.3333,0.3333,0.3333,0.3333,1,0.3333,0.3333,7,7,7,5,7,5,3,7,7,7,5,3,5
144,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,1,3,3,1,3,3,3,0.3333,3,0.3333,1,1,0.3333,1,3,3,3,3,3,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,3,0.2,0.3333,0.3333,0.3333,1,5,3,1,0.3333,0.3333,3,3,3
145,3,0.3333,1,5,1,1,1,1,3,0.2,0.3333,3,3,3,3,5,3,3,7,5,5,5,5,3,7,3,5,1,3,3,3,7,0.3333,0.3333,0.2,1,0.3333,0.2,0.3333,1,0.3333,0.3333,5,1,1,7,7,7,7,3,3,3,7,7,7,3,1,5
146,0.2,0.1429,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,0.1111,5,5,1,5,5,7,7,7,1,1,5,9,7,1,1,1,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,5,7,3,7,7,7,7,7,7,7,7,7,7,3,3,4
147,0.3333,1,0.3333,1,1,0.3333,1,1,1,1,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,5
148,1,3,3,5,3,3,3,3,3,3,1,3,3,3,3,3,3,0.3333,1,3,3,1,1,1,3,3,3,1,3,3,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,4,3,4
149,1,1,1,3,7,5,7,9,9,1,1,7,9,9,9,9,9,1,7,9,9,9,9,7,7,9,9,5,5,1,5,5,7,7,1,1,1,1,1,1,1,0.2,1,1,0.3333,7,7,7,7,5,3,3,7,5,5,4,3,7
150,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,0.3333,1,3,0.3333,1,1,1,0.5,3,3,3,1,1,7,7,7,7,5,5,5,7,5,5,5,4,6
151,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,7,7,5,5,5,5,5,7,4,4,4
152,0.3333,1,1,0.3333,5,3,3,3,3,5,0.3333,0.3333,5,0.3333,3,3,3,0.3333,0.3333,0.3333,3,0.3333,3,0.3333,0.3333,3,1,1,3,0.3333,3,3,3,0.3333,3,0.3333,3,3,3,0.3333,3,3,0.3333,3,0.2,5,5,7,7,7,1,1,5,5,5,5,7,5
153,5,5,1,0.2,5,5,5,3,0.3333,1,1,1,3,5,3,0.1429,3,0.3333,0.3333,0.2,0.2,0.3333,3,3,1,3,5,5,3,3,5,7,3,3,3,1,3,0.2,0.3333,0.3333,0.3333,0.3333,3,3,1,3,5,3,7,7,3,3,3,5,3,5,6,6
154,0.3333,5,0.3333,3,3,3,0.2,0.2,1,5,1,3,3,5,3,3,0.3333,1,1,1,3,3,3,5,7,5,7,5,5,5,1,3,5,0.2,0.3333,5,3,3,3,3,0.2,3,3,3,3,5,5,7,7,5,5,5,5,5,5,4,4,4
155,1,1,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,0.3333,0.2,1,1,1,1,1,1,0.3333,0.3333,1,1,1,1,1,0.3333,1,1,1,0.3333,1,0.3333,0.3333,0.3333,1,0.3333,0.5,1,1,3,3,1,5,5,7,5,5,5,5,3,3,3,4,4,4
156,0.2,0.3333,0.1429,0.3333,0.3333,0.2,0.3333,0.3333,0.1429,3,0.3333,0.3333,5,7,3,3,3,0.3333,0.3333,3,3,3,0.3333,0.3333,5,3,5,0.3333,3,0.3333,7,5,3,3,3,5,0.3333,0.2,0.3333,0.3333,0.3333,0.3333,5,0.3333,0.3333,3,5,3,5,7,3,1,1,1,1,3,5,5
157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3
158,5,3,3,7,7,5,3,5,3,0.3333,0.3333,3,3,1,0.2,1,0.3333,1,5,5,3,1,3,1,5,5,3,1,3,1,1,0.3333,0.2,0.3333,0.2,0.2,0.3333,0.2,0.3333,0.3333,1,0.3333,3,1,0.3333,3,3,1,5,3,5,5,5,3,3,4,5,5
159,5,5,3,1,0.3333,1,0.3333,0.3333,0.2,3,3,3,0.3333,0.3333,3,0.3333,0.3333,0.3333,0.3333,3,0.3333,1,0.3333,3,1,1,3,3,0.3333,0.3333,3,3,1,3,3,1,1,0.3333,1,0.3333,0.3333,0.3333,3,3,3,7,5,5,5,7,7,7,5,5,5,7,4,6
160,1,3,3,0.1429,0.2,0.2,0.1429,0.1429,0.1429,1,0.3333,1,7,7,3,3,5,1,1,3,3,5,5,5,3,5,7,5,5,5,9,9,9,9,9,5,3,1,3,3,3,3,7,7,1,7,0.3333,1,0.3333,7,"0,0,110,2910,29","0,0,110,2910,29",3,0.3333,7,6,6,6
161,3,3,0.3333,3,1,5,5,5,3,0.3333,0.2,0.3333,1,3,3,1,1,0.3333,3,3,3,3,3,3,5,5,5,3,3,3,1,1,3,3,1,3,1,1,1,3,3,1,1,1,1,7,7,5,7,7,5,5,5,5,5,6,5,6
162,5,0.2,1,3,3,1,0.2,3,1,0.1111,0.1429,1,3,0.1429,0.3333,0.3333,0.2,1,9,7,5,5,5,5,9,7,5,5,5,5,1,0.2,0.1429,0.1429,0.1429,1,1,1,0.3333,1,1,3,1,3,1,7,1,7,7,3,1,7,7,7,7,7,6,6
163,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,9,9,9,9,9,9,7,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,5,0.3333,1,1,0.3333,0.3333,7,7,7,7
164,7,3,1,1,3,3,3,0.3333,3,1,0.3333,0.3333,0.3333,5,0.3333,1,3,3,1,3,3,3,3,3,1,3,3,1,3,3,1,3,1,3,1,1,1,1,1,1,1,0.3333,0.3333,1,1,7,5,7,7,7,7,7,7,7,7,7,5,7
165,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,5,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,5,5,5
166,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,1,1,1,3,3,3,0.3333,1,0.3333,0.3333,0.3333,1,1,0.3333,0.3333,3,0.3333,0.3333,0.3333,0.3333,1,1,3,3,0.3333,1,3,1,0.3333,1,1,0.3333,1,0.3333,0.3333,1,1,1,1,3,1,1,3,3,1,7,7,7
167,7,0.3333,0.2,0.1429,0.2,5,3,0.1429,0.1429,7,7,5,0.2,5,0.1429,0.1429,0.1429,0.2,0.1429,5,5,5,7,0.2,0.1429,0.2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.3333,0.3333,3,0.3333,0.3333,3,1,1,1,3,1,1,0.3333,0.3333,0.3333,6,3,4
168,1,1,1,3,3,3,1,3,1,1,1,3,3,3,1,3,1,1,3,3,3,1,3,1,3,3,3,1,3,1,1,1,0.3333,1,0.3333,1,0.3333,1,0.3333,0.3333,1,0.3333,3,1,0.3333,3,5,3,5,3,3,3,1,3,3,5,5,5
169,9,7,9,3,5,5,5,7,5,5,3,5,5,5,5,5,5,5,5,7,5,7,7,7,5,5,7,7,5,5,5,5,7,5,7,7,7,7,7,5,7,7,7,7,7,3,5,5,5,3,5,5,3,5,3,5,5,5
170,1,1,1,1,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,4,6
171,0.3333,5,0.3333,0.3333,0.3333,0.3333,0.2,0.3333,3,7,5,3,3,3,1,3,5,0.3333,0.3333,0.3333,0.3333,0.1429,0.3333,3,0.3333,0.3333,3,0.1429,0.3333,3,3,3,0.3333,3,3,0.3333,0.3333,0.3333,3,0.2,5,3,7,9,3,3,7,3,3,5,5,5,7,5,5,6,6,6
172,1,1,1,1,3,1,1,1,1,3,1,3,3,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,0.3333,1,1,1,1,1,1,1,1,1,3,3,0.3333,5,7,5,5,5,7,5,7,5,5,6,5,6
173,3,0.3333,0.2,0.3333,3,3,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,0.3333,0.3333,3,0.3333,3,3,3,0.3333,1,3,3,3,3,1,0.3333,3,3,3,3,1,3,3,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,5,7,5,3,5,5,5,3,3,5,7,6,6
174,3,9,3,9,3,5,3,3,3,9,3,9,3,9,3,9,9,3,3,7,3,3,3,3,9,9,9,9,9,9,9,3,9,9,9,3,3,3,3,3,3,3,3,3,3,7,7,1,7,7,0.2,1,7,7,1,7,7,7
175,5,9,7,9,5,5,5,5,7,9,7,5,3,3,3,3,7,7,5,3,3,3,5,5,9,7,7,7,5,5,5,3,3,5,5,3,3,3,3,5,5,5,9,7,9,7,7,5,7,7,7,7,7,7,3,7,5,7
176,0.1429,0.1429,0.2,0.2,0.2,0.3333,0.2,0.2,0.2,3,3,5,5,7,3,3,3,3,5,3,5,1,3,3,3,3,5,1,3,3,1,0.3333,0.3333,1,1,3,3,3,3,0.3333,1,1,5,5,3,1,7,3,5,3,5,5,5,5,1,5,5,5
177,3,5,3,3,3,3,5,5,3,5,5,5,7,5,5,7,7,5,5,5,5,7,5,5,5,5,7,5,5,7,5,3,5,5,5,7,7,5,5,5,5,7,5,5,5,3,5,5,0.3333,0.3333,0.2,3,1,3,3,7,7,7
178,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,6,3,4
179,0.3333,3,1,0.2,0.3333,0.3333,0.2,0.2,0.3333,3,3,1,1,1,0.3333,0.3333,0.3333,3,0.2,0.3333,0.3333,0.2,0.2,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,3,3,5,5,7,7,7,7,6,6
180,1,0.3333,0.2,5,5,3,0.1429,1,0.1429,0.1429,1,5,5,5,0.1429,1,0.2,5,5,5,5,0.1429,1,0.3333,5,5,5,1,1,1,0.3333,1,0.1429,0.3333,0.2,0.3333,0.2,1,0.3333,0.2,1,0.3333,1,1,0.3333,5,5,5,5,1,1,1,7,5,5,5,3,6
181,9,7,0.3333,5,0.2,3,0.3333,0.3333,0.2,3,3,1,0.3333,0.3333,0.3333,0.3333,0.3333,1,3,0.3333,0.3333,0.3333,0.3333,0.3333,5,3,3,1,3,0.3333,0.3333,1,0.3333,0.3333,0.3333,3,3,3,0.3333,0.3333,0.3333,0.3333,5,5,5,5,3,3,5,3,5,5,7,5,3,6,5,5
182,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,5,5,5
183,0.3333,3,0.3333,0.3333,0.3333,0.3333,3,3,3,0.3333,0.3333,1,0.3333,0.3333,0.3333,0.3333,0.3333,3,1,1,1,1,1,1,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,1,1,3,3,3,3,3,3,3,1,1,1,0.3333,0.3333,0.3333,3,1,0.3333,1,3,1,0.3333,3,1,0.3333,6,6,6
184,1,5,0.3333,0.3333,5,0.3333,3,3,0.3333,3,0.1429,5,5,5,0.2,0.2,5,0.2,5,0.2,0.3333,0.3333,0.3333,0.3333,7,5,5,5,5,5,0.3333,0.3333,0.3333,0.3333,0.3333,5,0.2,0.3333,5,0.3333,0.3333,0.3333,7,7,0.3333,5,3,3,5,3,5,5,5,5,5,5,3,5
185,3,5,3,5,5,7,3,3,5,3,5,5,5,5,7,5,5,5,3,5,7,3,9,5,5,7,5,7,5,7,5,9,9,5,5,5,7,7,5,5,7,5,5,3,9,1,3,0.3333,5,7,5,5,3,0.3333,3,4,4,4
186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
187,3,3,0.3333,0.1429,3,0.1429,0.2,0.2,0.2,3,0.3333,0.2,3,0.2,0.2,0.2,3,0.2,0.2,3,3,3,3,1,1,3,3,0.3333,3,3,5,5,3,3,3,0.2,0.2,0.2,0.3333,3,3,3,3,0.3333,0.3333,5,5,7,7,7,7,7,7,7,7,6,5,5
188,1,1,0.3333,5,5,3,1,3,1,0.3333,1,0.3333,3,5,0.3333,0.3333,1,0.3333,0.3333,3,3,1,3,3,3,1,3,1,1,3,5,5,5,5,3,5,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,3,5,3,3,3,5,1,1,3,3,3,6,4,5
189,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,6,4,6
190,7,5,5,5,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,5,7,5,5,5,5,7,7,5,5,4,6
191,1,0.3333,3,3,3,1,1,3,0.3333,3,3,3,3,1,0.3333,3,3,3,3,5,0.3333,1,0.3333,0.3333,0.3333,0.3333,1,0.3333,1,1,1,1,0.3333,1,0.3333,1,0.3333,1,3,0.3333,1,1,3,3,1,5,7,5,5,5,3,5,7,5,5,7,5,5
192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,6,6
193,1,3,1,0.3333,3,1,1,1,1,3,1,0.3333,1,1,1,1,1,1,0.3333,1,1,1,1,0.3333,0.3333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,7,3,5,7,7,7,7,7,7,6,4,6
194,0.3333,3,1,3,3,5,1,3,1,1,1,3,3,5,1,3,3,1,3,3,3,1,3,0.3333,3,3,3,1,1,1,1,3,0.3333,0.3333,0.3333,3,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,1,1,7,7,7,7,5,5,5,7,7,7,6,6,6
195,3,3,5,5,3,3,5,7,5,3,7,5,7,3,7,5,5,3,3,5,5,7,5,3,7,7,5,5,5,3,3,3,3,3,5,5,5,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7
196,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,4,4,5
197,1,3,0.3333,0.2,3,1,0.2,0.3333,3,3,3,3,1,0.3333,0.2,3,0.3333,3,3,0.3333,0.3333,0.3333,3,0.3333,3,1,0.3333,0.3333,0.3333,3,3,3,0.3333,3,3,3,0.2,3,3,0.3333,3,3,5,5,3,3,3,3,3,5,5,3,7,5,5,5,4,4
198,1,1,1,1,5,0.3333,5,5,1,1,1,1,1,1,1,1,1,9,5,7,7,7,7,7,7,7,7,7,7,7,1,1,1,1,0.1429,1,1,1,0.2,1,1,0.2,1,0.2,0.2,3,1,7,7,5,7,7,7,7,7,6,3,3
199,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0.3333,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,0.3333,0.3333,0.3333,1,0.3333,0.3333,7,5,3,3,3,3,3,3,3,5,6,5,7
200,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,0.3333,0.3333,1,1,1,3,3,3,3
201,0.2,3,3,0.1429,0.2,0.3333,0.2,0.3333,0.3333,5,7,1,1,1,0.3333,1,3,0.3333,0.1429,0.3333,0.3333,0.3333,0.3333,0.3333,0.2,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,0.3333,3,3,3,0.3333,0.3333,0.3333,0.2,0.3333,0.3333,5,5,3,1,3,3,3,5,7,3,5,3,3,7,6,6
202,5,5,5,9,9,0.3333,0.3333,0.3333,0.3333,5,5,9,9,9,9,9,9,0.3333,3,3,3,3,3,3,7,7,7,7,7,7,3,3,3,3,3,1,1,1,1,1,3,0.3333,1,1,3,7,7,7,7,7,7,7,7,7,7,7,4,7
203,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,4,4,4
204,0.2,0.1429,0.1429,0.1111,5,1,0.1429,0.1429,0.1111,1,5,1,7,3,7,1,0.3333,0.3333,0.3333,0.3333,0.2,0.1429,0.1429,0.1429,1,0.2,0.1429,0.3333,0.3333,0.2,0.1429,7,9,7,1,1,1,0.1429,0.1429,0.1111,0.2,0.3333,7,0.1429,0.1429,1,1,5,3,5,1,1,3,5,5,4,4,4
205,0.3333,3,0.2,0.1429,5,0.2,7,3,3,5,0.1429,0.3333,0.3333,3,9,5,3,0.1111,3,0.3333,3,5,5,5,0.3333,3,5,5,5,5,7,5,5,5,5,5,5,3,3,0.2,0.2,0.3333,0.1429,0.1429,5,3,5,3,7,7,7,1,0.3333,0.3333,3,6,5,6
