,0,1,2,3,4,5,6,7,8,9
75,0.048,0.058,0.081,0.095,0.08,0.073,0.114,0.217,0.119,0.115
76,0.02,0.151,0.07,0.188,0.18,0.037,0.028,0.112,0.066,0.148
77,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
78,0.282,0.049,0.127,0.127,0.023,0.025,0.056,0.132,0.056,0.122
79,0.104,0.1,0.066,0.083,0.129,0.082,0.065,0.119,0.142,0.111
80,0.067,0.124,0.112,0.176,0.219,0.073,0.06,0.079,0.047,0.043
81,0.184,0.064,0.136,0.27,0.078,0.072,0.056,0.04,0.044,0.055
82,0.089,0.028,0.274,0.239,0.019,0.038,0.082,0.106,0.06,0.065
83,0.236,0.169,0.221,0.152,0.058,0.046,0.039,0.032,0.026,0.021
84,0.179,0.073,0.152,0.132,0.119,0.069,0.043,0.071,0.102,0.06
85,0.219,0.176,0.142,0.114,0.092,0.087,0.056,0.046,0.037,0.029
86,0.031,0.135,0.054,0.076,0.131,0.099,0.096,0.073,0.079,0.226
87,0.059,0.123,0.087,0.117,0.213,0.151,0.026,0.055,0.068,0.102
88,0.136,0.136,0.136,0.136,0.045,0.045,0.045,0.136,0.045,0.136
89,0.337,0.168,0.15,0.106,0.079,0.062,0.039,0.028,0.018,0.013
90,0.128,0.128,0.097,0.097,0.097,0.08,0.08,0.097,0.097,0.097
91,0.043,0.199,0.027,0.068,0.127,0.068,0.098,0.269,0.079,0.022
92,0.104,0.162,0.11,0.092,0.074,0.069,0.085,0.128,0.078,0.098
93,0.059,0.052,0.132,0.172,0.132,0.049,0.03,0.132,0.178,0.063
94,0.265,0.241,0.106,0.168,0.087,0.038,0.029,0.028,0.02,0.017
95,0.322,0.211,0.128,0.121,0.056,0.042,0.045,0.04,0.024,0.012
96,0.017,0.267,0.172,0.128,0.046,0.105,0.045,0.123,0.054,0.043
97,0.219,0.238,0.163,0.124,0.078,0.069,0.045,0.028,0.021,0.016
98,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
99,0.039,0.088,0.035,0.036,0.167,0.104,0.104,0.145,0.145,0.137
100,0.056,0.068,0.162,0.117,0.02,0.03,0.034,0.252,0.075,0.187
101,0.096,0.058,0.036,0.13,0.028,0.154,0.045,0.18,0.127,0.146
102,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
103,0.105,0.06,0.094,0.065,0.146,0.173,0.107,0.067,0.082,0.101
104,0.108,0.103,0.031,0.263,0.038,0.074,0.051,0.172,0.086,0.074
105,0.238,0.201,0.157,0.132,0.1,0.062,0.041,0.029,0.026,0.015
106,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
107,0.052,0.06,0.093,0.152,0.219,0.02,0.131,0.115,0.071,0.089
108,0.16,0.07,0.106,0.165,0.182,0.044,0.025,0.113,0.08,0.057
109,0.283,0.157,0.131,0.106,0.086,0.069,0.056,0.045,0.037,0.03
110,0.313,0.198,0.145,0.105,0.077,0.055,0.041,0.03,0.022,0.016
111,0.11,0.149,0.117,0.044,0.053,0.075,0.091,0.179,0.077,0.105
112,0.098,0.098,0.098,0.098,0.181,0.086,0.086,0.086,0.086,0.086
